 	ELoss	Intensity
986	25.838	51.586
987	25.868	50.852
988	25.899	50.148
989	25.929	50.258
990	25.959	51.262
991	25.989	51.973
992	26.019	51.641
993	26.050	51.695
994	26.080	51.070
995	26.110	50.340
996	26.140	50.949
997	26.171	52.855
998	26.201	50.957
999	26.231	48.965
1000	26.261	51.828
1001	26.291	51.176
1002	26.322	51.422
1003	26.352	52.160
1004	26.382	50.480
1005	26.412	50.688
1006	26.443	49.695
1007	26.473	48.320
1008	26.503	50.383
1009	26.533	52.301
1010	26.563	51.750
1011	26.594	51.684
1012	26.624	50.770
1013	26.654	49.281
1014	26.684	50.125
1015	26.714	51.230
1016	26.745	51.766
1017	26.775	52.094
1018	26.805	53.590
1019	26.835	52.883
1020	26.866	53.605
1021	26.896	52.207
1022	26.926	50.520
1023	26.956	51.648
1024	26.986	50.273
1025	27.017	50.445
1026	27.047	50.227
1027	27.077	51.387
1028	27.107	51.902
1029	27.138	52.438
1030	27.168	51.113
1031	27.198	52.598
1032	27.228	53.691
1033	27.258	53.586
1034	27.289	51.055
1035	27.319	51.039
1036	27.349	51.031
1037	27.379	50.711
1038	27.410	50.500
1039	27.440	50.934
1040	27.470	51.125
1041	27.500	52.414
1042	27.530	53.418
1043	27.561	52.449
1044	27.591	52.793
1045	27.621	53.449
1046	27.651	53.855
1047	27.682	54.086
1048	27.712	54.910
1049	27.742	54.211
1050	27.772	53.793
1051	27.802	53.930
1052	27.833	53.430
1053	27.863	52.969
1054	27.893	53.250
1055	27.923	52.883
1056	27.954	53.535
1057	27.984	53.914
1058	28.014	53.926
1059	28.044	55.066
1060	28.074	56.199
1061	28.105	54.371
1062	28.135	52.871
1063	28.165	52.777
1064	28.195	52.988
1065	28.225	55.234
1066	28.256	57.047
1067	28.286	55.086
1068	28.316	56.383
1069	28.346	56.836
1070	28.377	56.789
1071	28.407	56.629
1072	28.437	56.113
1073	28.467	56.273
1074	28.497	57.410
1075	28.528	56.129
1076	28.558	56.492
1077	28.588	55.973
1078	28.618	57.273
1079	28.649	58.051
1080	28.679	57.965
1081	28.709	57.281
1082	28.739	58.039
1083	28.769	58.379
1084	28.800	58.785
1085	28.830	58.488
1086	28.860	60.262
1087	28.890	62.211
1088	28.921	59.281
1089	28.951	60.438
1090	28.981	60.242
1091	29.011	60.699
1092	29.041	59.891
1093	29.072	58.875
1094	29.102	59.051
1095	29.132	61.484
1096	29.162	61.383
1097	29.193	60.504
1098	29.223	62.156
1099	29.253	60.867
1100	29.283	61.000
1101	29.313	63.547
1102	29.344	62.871
1103	29.374	62.613
1104	29.404	63.148
1105	29.434	63.656
1106	29.464	64.508
1107	29.495	63.957
1108	29.525	64.223
1109	29.555	66.082
1110	29.585	64.422
1111	29.616	63.391
1112	29.646	64.207
1113	29.676	65.547
1114	29.706	67.793
1115	29.736	66.805
1116	29.767	66.262
1117	29.797	66.641
1118	29.827	68.203
1119	29.857	68.879
1120	29.888	69.301
1121	29.918	69.016
1122	29.948	70.766
1123	29.978	70.980
1124	30.008	70.055
1125	30.039	71.000
1126	30.069	72.723
1127	30.099	69.969
1128	30.129	71.750
1129	30.160	72.328
1130	30.190	71.797
1131	30.220	72.961
1132	30.250	72.223
1133	30.280	71.195
1134	30.311	73.102
1135	30.341	72.832
1136	30.371	71.801
1137	30.401	72.980
1138	30.432	74.668
1139	30.462	73.398
1140	30.492	74.105
1141	30.522	75.418
1142	30.552	75.883
1143	30.583	76.055
1144	30.613	78.719
1145	30.643	80.680
1146	30.673	78.883
1147	30.704	77.785
1148	30.734	78.047
1149	30.764	79.012
1150	30.794	79.324
1151	30.824	81.008
1152	30.855	80.691
1153	30.885	81.246
1154	30.915	81.453
1155	30.945	83.188
1156	30.976	82.730
1157	31.006	82.121
1158	31.036	82.855
1159	31.066	83.051
1160	31.096	84.266
1161	31.127	84.965
1162	31.157	84.355
1163	31.187	86.059
1164	31.217	85.984
1165	31.247	86.430
1166	31.278	85.602
1167	31.308	86.398
1168	31.338	88.488
1169	31.368	87.949
1170	31.399	87.676
1171	31.429	87.906
1172	31.459	87.152
1173	31.489	90.359
1174	31.519	89.660
1175	31.550	91.445
1176	31.580	94.020
1177	31.610	92.266
1178	31.640	90.918
1179	31.671	93.691
1180	31.701	94.395
1181	31.731	93.645
1182	31.761	92.785
1183	31.791	93.500
1184	31.822	95.398
1185	31.852	94.637
1186	31.882	94.684
1187	31.912	94.977
1188	31.943	98.691
1189	31.973	97.336
1190	32.003	97.715
1191	32.033	96.055
1192	32.063	99.656
1193	32.094	98.348
1194	32.124	100.328
1195	32.154	100.125
1196	32.184	101.035
1197	32.215	101.414
1198	32.245	101.500
1199	32.275	100.859
1200	32.305	102.086
1201	32.335	102.750
1202	32.366	103.047
1203	32.396	102.094
1204	32.426	104.727
1205	32.456	105.105
1206	32.486	103.945
1207	32.517	103.992
1208	32.547	104.285
1209	32.577	106.633
1210	32.607	106.590
1211	32.638	105.141
1212	32.668	104.867
1213	32.698	103.992
1214	32.728	103.551
1215	32.758	104.156
1216	32.789	104.539
1217	32.819	103.539
1218	32.849	103.996
1219	32.879	104.527
1220	32.910	106.227
1221	32.940	108.484
1222	32.970	106.555
1223	33.000	108.590
1224	33.030	109.207
1225	33.061	108.461
1226	33.091	107.926
1227	33.121	110.754
1228	33.151	110.980
1229	33.182	108.770
1230	33.212	110.480
1231	33.242	111.406
1232	33.272	109.352
1233	33.302	109.219
1234	33.333	109.402
1235	33.363	110.559
1236	33.393	110.098
1237	33.423	109.004
1238	33.454	107.906
1239	33.484	108.996
1240	33.514	109.832
1241	33.544	110.223
1242	33.574	108.664
1243	33.605	108.828
1244	33.635	110.082
1245	33.665	111.098
1246	33.695	109.836
1247	33.726	111.113
1248	33.756	112.332
1249	33.786	114.164
1250	33.816	111.859
1251	33.846	110.027
1252	33.877	111.422
1253	33.907	109.070
1254	33.937	109.238
1255	33.967	111.520
1256	33.997	111.348
1257	34.028	109.281
1258	34.058	108.898
1259	34.088	109.074
1260	34.118	110.969
1261	34.149	109.301
1262	34.179	109.188
1263	34.209	109.543
1264	34.239	109.871
1265	34.269	109.391
1266	34.300	106.863
1267	34.330	106.762
1268	34.360	106.422
1269	34.390	108.328
1270	34.421	108.496
1271	34.451	105.098
1272	34.481	106.234
1273	34.511	107.066
1274	34.541	106.828
1275	34.572	106.762
1276	34.602	108.406
1277	34.632	104.805
1278	34.662	106.785
1279	34.693	106.770
1280	34.723	106.926
1281	34.753	104.262
1282	34.783	103.469
1283	34.813	102.293
1284	34.844	101.438
1285	34.874	102.180
1286	34.904	102.121
1287	34.934	103.641
1288	34.965	102.508
1289	34.995	101.363
1290	35.025	98.152
1291	35.055	98.832
1292	35.085	98.957
1293	35.116	99.246
1294	35.146	99.871
1295	35.176	99.012
1296	35.206	99.715
1297	35.237	99.586
1298	35.267	98.941
1299	35.297	98.043
1300	35.327	95.809
1301	35.357	94.453
1302	35.388	93.492
1303	35.418	94.473
1304	35.448	93.781
1305	35.478	93.363
1306	35.508	92.410
1307	35.539	91.801
1308	35.569	95.301
1309	35.599	94.855
1310	35.629	94.152
1311	35.660	92.410
1312	35.690	89.906
1313	35.720	89.316
1314	35.750	87.938
1315	35.780	88.980
1316	35.811	88.160
1317	35.841	88.285
1318	35.871	87.152
1319	35.901	88.711
1320	35.932	88.375
1321	35.962	86.371
1322	35.992	85.398
1323	36.022	86.504
1324	36.052	82.738
1325	36.083	82.129
1326	36.113	83.254
1327	36.143	84.738
1328	36.173	84.246
1329	36.204	83.449
1330	36.234	82.449
1331	36.264	83.508
1332	36.294	84.988
1333	36.324	82.332
1334	36.355	79.180
1335	36.385	78.668
1336	36.415	78.020
1337	36.445	80.379
1338	36.476	77.727
1339	36.506	76.793
1340	36.536	75.973
1341	36.566	77.766
1342	36.596	75.500
